data,feriado
2001-01-01,Confraternização Universal
2001-02-26,Carnaval
2001-02-27,Carnaval
2001-04-13,Paixão de Cristo
2001-04-21,Tiradentes
2001-05-01,Dia do Trabalho
2001-06-14,Corpus Christi
2001-09-07,Independência do Brasil
2001-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil
2001-11-02,Finados
2001-11-15,Proclamação da República
2001-12-25,Natal
2002-01-01,Confraternização Universal
2002-02-11,Carnaval
2002-02-12,Carnaval
2002-03-29,Paixão de Cristo
2002-04-21,Tiradentes
2002-05-01,Dia do Trabalho
2002-05-30,Corpus Christi
2002-09-07,Independência do Brasil
2002-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil
2002-11-02,Finados
2002-11-15,Proclamação da República
2002-12-25,Natal
2003-01-01,Confraternização Universal
2003-03-03,Carnaval
2003-03-04,Carnaval
2003-04-18,Paixão de Cristo
2003-04-21,Tiradentes
2003-05-01,Dia do Trabalho
2003-06-19,Corpus Christi
2003-09-07,Independência do Brasil
2003-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil
2003-11-02,Finados
2003-11-15,Proclamação da República
2003-12-25,Natal
2004-01-01,Confraternização Universal
2004-02-23,Carnaval
2004-02-24,Carnaval
2004-04-09,Paixão de Cristo
2004-04-21,Tiradentes
2004-05-01,Dia do Trabalho
2004-06-10,Corpus Christi
2004-09-07,Independência do Brasil
2004-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil
2004-11-02,Finados
2004-11-15,Proclamação da República
2004-12-25,Natal
2005-01-01,Confraternização Universal
2005-02-07,Carnaval
2005-02-08,Carnaval
2005-03-25,Paixão de Cristo
2005-04-21,Tiradentes
2005-05-01,Dia do Trabalho
2005-05-26,Corpus Christi
2005-09-07,Independência do Brasil
2005-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil
2005-11-02,Finados
2005-11-15,Proclamação da República
2005-12-25,Natal
2006-01-01,Confraternização Universal
2006-02-27,Carnaval
2006-02-28,Carnaval
2006-04-14,Paixão de Cristo
2006-04-21,Tiradentes
2006-05-01,Dia do Trabalho
2006-06-15,Corpus Christi
2006-09-07,Independência do Brasil
2006-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil
2006-11-02,Finados
2006-11-15,Proclamação da República
2006-12-25,Natal
2007-01-01,Confraternização Universal
2007-02-19,Carnaval
2007-02-20,Carnaval
2007-04-06,Paixão de Cristo
2007-04-21,Tiradentes
2007-05-01,Dia do Trabalho
2007-06-07,Corpus Christi
2007-09-07,Independência do Brasil
2007-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil
2007-11-02,Finados
2007-11-15,Proclamação da República
2007-12-25,Natal
2008-01-01,Confraternização Universal
2008-02-04,Carnaval
2008-02-05,Carnaval
2008-03-21,Paixão de Cristo
2008-04-21,Tiradentes
2008-05-01,Dia do Trabalho
2008-05-22,Corpus Christi
2008-09-07,Independência do Brasil
2008-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil
2008-11-02,Finados
2008-11-15,Proclamação da República
2008-12-25,Natal
2009-01-01,Confraternização Universal
2009-02-23,Carnaval
2009-02-24,Carnaval
2009-04-10,Paixão de Cristo
2009-04-21,Tiradentes
2009-05-01,Dia do Trabalho
2009-06-11,Corpus Christi
2009-09-07,Independência do Brasil
2009-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil
2009-11-02,Finados
2009-11-15,Proclamação da República
2009-12-25,Natal
2010-01-01,Confraternização Universal
2010-02-15,Carnaval
2010-02-16,Carnaval
2010-04-02,Paixão de Cristo
2010-04-21,Tiradentes
